SourceTextTitle,SourceTextCode,EventID,StartDate,EndDate
"Absalom, Absalom!",AA,15971,1834-06-03 , 1834-08-31
"Absalom, Absalom!",AA,15975,1826-01-10 , 1826-12-31
"Absalom, Absalom!",AA,15977,1834-06-03 , 1834-08-31
"Absalom, Absalom!",AA,15978,1826-01-10 , 1826-12-31
"Absalom, Absalom!",AA,15980,1826-01-10 , 1826-12-31
"Absalom, Absalom!",AA,15989,1826-01-01 , 1826-12-31
"Absalom, Absalom!",AA,15990,1826-01-01 , 1826-12-31
"Absalom, Absalom!",AA,15992,1826-01-07 , 1826-12-31
"Absalom, Absalom!",AA,15996,1826-01-10 , 1826-12-31
"Absalom, Absalom!",AA,15997,1826-01-18 , 1826-12-31
"Absalom, Absalom!",AA,15999,1826-01-18 , 1826-12-31
"Absalom, Absalom!",AA,16000,1834-06-03 , 1834-08-31
"Absalom, Absalom!",AA,16001,1826-01-19 , 1826-01-31
"Absalom, Absalom!",AA,16004,1834-06-04 , 1834-08-31
"Absalom, Absalom!",AA,16005,1835-01-01 , 1835-12-31
"Absalom, Absalom!",AA,16006,1834-06-04 , 1834-08-31
"Absalom, Absalom!",AA,16008,1834-09-01 , 1845-12-31
"Absalom, Absalom!",AA,16014,1839-01-01 , 1841-12-31
"Absalom, Absalom!",AA,16015,1831-01-01 , 1831-12-31
"Absalom, Absalom!",AA,16017,1827-01-01 , 1827-12-31
"Absalom, Absalom!",AA,16018,1831-01-01 , 1831-12-31
"Absalom, Absalom!",AA,16020,1910-01-13,1910-01-13
"Absalom, Absalom!",AA,16021,1859-12-25,1859-12-25
"Absalom, Absalom!",AA,16023,1831-01-01 , 1841-12-31
"Absalom, Absalom!",AA,16026,1864-11-01 , 1864-12-25
"Absalom, Absalom!",AA,16027,1859-12-25 , 1860-01-07
"Absalom, Absalom!",AA,16030,1860-12-24,1860-12-24
"Absalom, Absalom!",AA,16033,1864-11-01 , 1864-11-30
"Absalom, Absalom!",AA,16035,1864-11-01 , 1864-11-30
"Absalom, Absalom!",AA,16043,1866-07-01 , 1867-12-31
"Absalom, Absalom!",AA,16051,1869-08-18 , 1869-08-20
